Date,incidents,total_delay,months_elapsed
01/21,934,9382,1
02/21,865,11819,2
03/21,1036,11708,3
04/21,1107,10847,4
05/21,1059,15955,5
06/21,955,11471,6
07/21,948,14370,7
08/21,1059,16201,8
09/21,1010,12313,9
10/21,837,11302,10
11/21,883,11499,11
12/21,1156,15092,12
01/22,1655,24142,13
02/22,1113,16928,14
03/22,1422,18087,15
04/22,1478,18282,16
05/22,1466,20270,17
06/22,1168,14882,18
07/22,1213,15936,19
08/22,993,14352,20
09/22,1022,16926,21
10/22,992,14740,22
11/22,1059,15497,23
12/22,995,16490,24
01/23,901,14738,25
02/23,852,12401,26
03/23,1028,14483,27
04/23,1077,15962,28
05/23,1042,17542,29
06/23,914,20599,30
07/23,879,13048,31
08/23,966,14255,32
09/23,847,13231,33
10/23,1071,14405,34
11/23,1229,19900,35
12/23,1318,18984,36
